Date,StackedEnsemble_G10,PolicyAgent_G10
2004-02-27,1.0102994302690753,1.0227859535633792
2004-03-01,1.0104199315120157,1.0203409077526728
2004-03-02,1.0071516111406775,1.0203927021672707
2004-03-03,1.0044535987923424,1.0191772573308497
2004-03-04,1.004354520261722,1.0204734685380408
2004-03-05,1.0058507677620168,1.0219493526704169
2004-03-08,1.0072972100969662,1.02163029568414
2004-03-09,1.0069616763112796,1.0201895677996857
2004-03-10,1.0029851025473513,1.021988344012903
2004-03-11,1.001732859768079,1.0207643075975061
2004-03-12,0.999967000867112,1.0207643075975061
2004-03-15,1.000788987193289,1.0216528700282919
2004-03-16,1.0016145545137904,1.021495221855088
2004-03-17,1.0016987960771067,1.021495221855088
2004-03-18,1.004620325082727,1.0212122141808937
2004-03-19,1.004620325082727,1.0231763569945942
2004-03-22,1.0049737274959147,1.0227742939545725
2004-03-23,1.0050426840643418,1.0220592335379126
2004-03-24,1.0032842915694549,1.0213510958771743
2004-03-25,1.003278307811589,1.0212859933564649
2004-03-26,1.0034684432503034,1.0216759316497603
2004-03-29,1.0038680251966676,1.0233718879595204
2004-03-30,1.0040305209783582,1.0233718879595204
2004-03-31,1.0040305209783582,1.0233718879595204
2004-04-01,1.0040305209783582,1.0233718879595204
2004-04-02,1.0040305209783582,1.022329195407569
2004-04-05,1.0040305209783582,1.0233881983317503
2004-04-06,1.0040305209783582,1.023443932389898
2004-04-07,1.0040864044752011,1.02516239918278
2004-04-08,1.0058094789611922,1.02516239918278
2004-04-09,1.0058094789611922,1.02516239918278
2004-04-12,1.0058094789611922,1.02516239918278
2004-04-13,1.0058094789611922,1.02516239918278
2004-04-14,1.0058094789611922,1.0247975534574005
2004-04-15,1.00544089131113,1.0244493381642081
2004-04-16,1.005097316305385,1.0242866580355756
2004-04-19,1.004932967699513,1.029278176921183
2004-04-20,1.0077908467759416,1.029278176921183
2004-04-21,1.0077908467759416,1.029278176921183
2004-04-22,1.0067071626451525,1.0302261976921552
2004-04-23,1.0075199257432443,1.0302261976921552
2004-04-26,1.0075199257432443,1.0302261976921552
2004-04-27,1.0075199257432443,1.0302261976921552
2004-04-28,1.0075199257432443,1.0302261976921552
2004-04-29,1.0065812987363616,1.030470856141565
2004-04-30,1.006934819899912,1.030470856141565
2004-05-03,1.007722945394524,1.030470856141565
2004-05-04,1.007722945394524,1.030470856141565
2004-05-05,1.007722945394524,1.030470856141565
2004-05-06,1.0087129594883502,1.030470856141565
2004-05-07,1.010145245958187,1.030470856141565
2004-05-10,1.0111386059292031,1.030470856141565
2004-05-11,1.0111386059292031,1.030470856141565
2004-05-12,1.0111386059292031,1.030470856141565
2004-05-13,1.0111386059292031,1.030470856141565
2004-05-14,1.0111386059292031,1.030470856141565
2004-05-17,1.0111386059292031,1.030470856141565
2004-05-18,1.0111386059292031,1.030470856141565
2004-05-19,1.0111386059292031,1.030470856141565
2004-05-20,1.0111386059292031,1.030470856141565
2004-05-21,1.0111386059292031,1.030470856141565
2004-05-24,1.0111386059292031,1.030470856141565
2004-05-25,1.0111386059292031,1.030470856141565
2004-05-26,1.0111386059292031,1.030470856141565
2004-05-27,1.0111386059292031,1.030470856141565
2004-05-28,1.0111386059292031,1.030470856141565
2004-05-31,1.0111386059292031,1.030470856141565
2004-06-01,1.0111386059292031,1.030470856141565
2004-06-02,1.0111386059292031,1.030470856141565
2004-06-03,1.0111386059292031,1.030470856141565
2004-06-04,1.0111386059292031,1.030470856141565
2004-06-07,1.0111386059292031,1.030470856141565
2004-06-08,1.0111386059292031,1.030470856141565
2004-06-09,1.0111386059292031,1.030470856141565
2004-06-10,1.0111386059292031,1.030470856141565
2004-06-11,1.0111386059292031,1.030470856141565
2004-06-14,1.0111386059292031,1.030470856141565
2004-06-15,1.0111386059292031,1.030470856141565
2004-06-16,1.0111386059292031,1.030470856141565
2004-06-17,1.0111386059292031,1.030470856141565
2004-06-18,1.0111386059292031,1.030470856141565
2004-06-21,1.0111386059292031,1.030894502793501
2004-06-22,1.0111386059292031,1.030894502793501
2004-06-23,1.0112086496123809,1.0319749759206112
2004-06-24,1.0132574273453354,1.0327531446479383
2004-06-25,1.0132574273453354,1.0324568594299548
2004-06-28,1.0132574273453354,1.0312249006222451
2004-06-29,1.0132574273453354,1.0306990650714019
2004-06-30,1.0127014877540956,1.0303037796301246
2004-07-01,1.0123242718595005,1.0294117364570703
2004-07-02,1.0114346192221961,1.0304184238162115
2004-07-05,1.0124036214661585,1.0305834873148152
2004-07-06,1.012569127546457,1.0290233275575489
2004-07-07,1.008059411548921,1.0291891077292887
2004-07-08,1.0088927996309796,1.0292166183123894
2004-07-09,1.008920383977696,1.0291524269518215
2004-07-12,1.0088560205020245,1.0292349587011231
2004-07-13,1.0089387735421735,1.0295742558926977
2004-07-14,1.0092789804850089,1.0295742558926977
2004-07-15,1.009398512654113,1.0295742558926977
2004-07-16,1.0083043335676969,1.0295742558926977
2004-07-19,1.0079273474959065,1.0295742558926977
2004-07-20,1.0084974239947115,1.0295742558926977
2004-07-21,1.0091962274448596,1.0295742558926977
2004-07-22,1.0091962274448596,1.0295742558926977
2004-07-23,1.0095466901331922,1.0293358558499373
2004-07-26,1.010653414412137,1.0293358558499373
2004-07-27,1.010653414412137,1.0293358558499373
2004-07-28,1.010653414412137,1.0293358558499373
